Rank,Company Code,Company Name,Price,Change,Percent,Market,Year
1,CSL,CSL Ltd,$291.99,+5.94,+2.08%,$132.85 B,+12.50%
2,CBA,Commonwealth Bank of Australia,$69.82,+0.95,+1.38%,$123.87 B,-9.38%
3,BHP,BHP Group Ltd,$34.70,+0.89,+2.63%,$102.22 B,-4.88%
4,WBC,Westpac Banking Corporation,$17.70,-0.1,-0.56%,$63.93 B,-36.51%
5,NAB,National Australia Bank Ltd,$18.90,+0.08,+0.43%,$62.18 B,-31.74%
6,ANZ,Australia and New Zealand Banking Group Ltd,$19.47,+0.21,+1.09%,$55.30 B,-24.97%
7,WES,Wesfarmers Ltd,$47.09,+0.84,+1.82%,$53.39 B,+17.14%
8,FMG,Fortescue Metals Group Ltd,$17.29,+0.08,+0.47%,$53.24 B,+84.33%
9,WOW,Woolworths Group Ltd,$38.81,+0.28,+0.73%,$49.11 B,+2.92%
10,MQG,Macquarie Group Ltd,$130.83,+3.46,+2.72%,$47.30 B,-2.80%
11,TCL,Transurban Group,$13.53,+0.26,+1.96%,$37.03 B,-10.69%
12,RIO,RIO Tinto Ltd,$94.79,+2.29,+2.48%,$35.19 B,+1.17%
13,GMG,Goodman Group,$18.69,+0.08,+0.43%,$34.53 B,+30.61%
14,TLS,Telstra Corporation Ltd,$2.76,+0.03,+1.10%,$32.83 B,-21.59%
15,APT,Afterpay Ltd,$99.13,+0.86,+0.88%,$28.20 B,+262.05%
16,NCM,Newcrest Mining Ltd,$30.33,+0.75,+2.54%,$24.77 B,-5.98%
17,COL,Coles Group Ltd,$18.32,+0.25,+1.38%,$24.44 B,+22.22%
18,FPH,Fisher & Paykel Healthcare Corporation Ltd,$33.57,-0.41,-1.21%,$19.34 B,+84.55%
19,ALL,Aristocrat Leisure Ltd,$29.77,+1.11,+3.87%,$19.01 B,-4.95%
20,WPL,Woodside Petroleum Ltd,$18.37,+0.96,+5.51%,$17.68 B,-43.86%
21,SHL,Sonic Healthcare Ltd,$35.46,+0.54,+1.55%,$16.94 B,+21.90%
22,JHX,James Hardie Industries Plc,$36.27,+1.07,+3.04%,$16.10 B,+43.59%
23,XRO,Xero Ltd,$112.55,+1.67,+1.51%,$16.08 B,+62.97%
24,REA,REA Group Ltd,$120.63,+0.96,+0.80%,$15.89 B,+11.51%
25,SYD,Sydney Airport,$5.80,+0.11,+1.93%,$15.65 B,-33.31%
26,ASX,ASX Ltd,$80.40,+0.25,+0.31%,$15.57 B,-1.37%
27,BXB,Brambles Ltd,$10.10,+0.54,+5.65%,$15.18 B,-16.04%
28,RHC,Ramsay Health Care Ltd,$63.35,+1.16,+1.87%,$14.50 B,-8.56%
29,COH,Cochlear Ltd,$217.37,+2.61,+1.22%,$14.29 B,+1.76%
30,AMC,Amcor Plc,$15.40,+0.4,+2.67%,$13.77 B,+8.99%
31,TPG,TPG Telecom Ltd,$7.07,-0.05,-0.70%,$13.15 B,-20.56%
32,APA,APA Group,$10.88,+0.11,+1.02%,$12.84 B,-5.88%
33,QBE,QBE Insurance Group Ltd,$8.59,+0.35,+4.25%,$12.63 B,-31.55%
34,SCG,Scentre Group,$2.28,+0.13,+6.05%,$11.83 B,-41.24%
35,NST,Northern Star Resources Ltd,$15.34,+0.3,+2.00%,$11.37 B,+52.18%
36,IAG,Insurance Australia Group Ltd,$4.80,+0.12,+2.56%,$11.09 B,-39.77%
37,SUN,Suncorp Group Ltd,$8.22,+0.1,+1.23%,$10.53 B,-38.29%
38,MFG,Magellan Financial Group Ltd,$57.14,+2.27,+4.14%,$10.49 B,+18.82%
39,S32,SOUTH32 Ltd,$2.13,+0.08,+3.90%,$10.32 B,-18.39%
40,STO,Santos Ltd,$4.95,+0.3,+6.45%,$10.31 B,-39.26%
41,SGP,Stockland,$4.22,+0.23,+5.76%,$10.07 B,-14.23%
42,RMD,Resmed Inc,$27.96,+0.49,+1.78%,$9.99 B,+30.35%
43,EVN,Evolution Mining Ltd,$5.83,+0.1,+1.75%,$9.96 B,+36.85%
